INDEX:1000:<ulong>,diagnostic:1000:<string>
1,000001000101
2,101011100101
3,100011100110
4,101001111000
5,000001000110
6,000110100010
7,100010101110
8,000011001110
9,110001101011
10,101100110111
11,101011011110
12,011110010101
13,010011010011
14,111101110011
15,001111011001
16,010100101101
17,110110110111
18,011111101100
19,000000101011
20,100010010011
21,011010000001
22,111000111011
23,001111111100
24,001111110111
25,010100011100
26,001010110100
27,010110011000
28,001010011110
29,001110010010
30,110100111100
31,110010110000
32,000110111000
33,110011000110
34,010011011111
35,011000010101
36,010101010100
37,000010001101
38,011001101100
39,101100110011
40,100011110101
41,110010011010
42,000011100010
43,001100010001
44,001100011100
45,100010011111
46,000001111110
47,011111111000
48,001100010011
49,011011010101
50,111000011010
51,001110110111
52,000001101000
53,111011111010
54,000100101111
55,110100100100
56,110000110011
57,111100101100
58,101011101111
59,101101010111
60,011111001010
61,110010111000
62,110111110001
63,110011101000
64,111101011011
65,001001101110
66,110110010100
67,000001110111
68,111111010001
69,100101100101
70,100100110010
71,100100010010
72,001100111110
73,010110101111
74,110000001111
75,110001011001
76,100001011000
77,101101100111
78,101100100100
79,000111001100
80,100101101110
81,010010000011
82,100010110110
83,110010101101
84,000011011001
85,010011110100
86,101110100111
87,000100001001
88,000100010011
89,010111010101
90,011010001000
91,100011101100
92,111010101000
93,111101100110
94,100110010011
95,111100011000
96,101111111110
97,111001011110
98,010101110101
99,011110101100
100,000100101101
101,110100110101
102,100100001011
103,100110100110
104,000011010000
105,100011010000
106,000010110101
107,011010101110
108,100001001000
109,111011101111
110,001011101000
111,101110101110
112,101101000010
113,110100001000
114,001010101010
115,011011110101
116,101110110000
117,110011010100
118,010010100000
119,011001110001
120,011110111110
121,101100001100
122,100110111111
123,111101001000
124,110001001010
125,111000100110
126,000000001001
127,100100100011
128,111111000011
129,111001100110
130,110001110001
131,010001111011
132,000010110011
133,111011111100
134,011010101010
135,111001101001
136,111101100101
137,101100000001
138,000110111001
139,101101011001
140,000100110011
141,010010101010
142,110000100010
143,001101010100
144,100000010101
145,101011100100
146,000000110000
147,001111010110
148,011011100111
149,110010010111
150,101101100101
151,110111010110
152,011001100011
153,101100111010
154,100011011000
155,011001011001
156,110011001100
157,111111111001
158,101100011101
159,111110110101
160,010110010101
161,001110110100
162,111101000000
163,011001111100
164,000101100010
165,010100111110
166,000101011000
167,010011001110
168,011111111101
169,000000110101
170,100101001000
171,101110100110
172,001001010010
173,000001000000
174,000101011011
175,010001011111
176,000111111111
177,010100101001
178,100111110001
179,110110011110
180,110111010011
181,001010100010
182,101100101011
183,110010110101
184,010001100001
185,110110110100
186,111011111011
187,111100111100
188,111101111001
189,011000110111
190,111010100000
191,011101001100
192,111000011000
193,111100100111
194,110110111001
195,000100000111
196,111101100001
197,101010011111
198,011000001011
199,101111111000
200,100110101011
201,100111101001
202,110101000111
203,000111010000
204,010011011001
205,110101101111
206,000001011010
207,100001000110
208,011011101110
209,110100011111
210,000101010110
211,100001010100
212,010000101011
213,110111100001
214,010111011011
215,110101011110
216,100111010010
217,111000011101
218,100001111110
219,101110001100
220,101011110000
221,001110000010
222,010001001000
223,011011001001
224,100100110100
225,111111011001
226,100011110111
227,000001001001
228,110010000110
229,110001011000
230,000000001100
231,101111010101
232,101110011100
233,000000101101
234,100110101001
235,111010110010
236,010111010010
237,010101111001
238,100010101000
239,011001000111
240,011011110100
241,101010000110
242,011010111011
243,101100100001
244,000101001110
245,101110111001
246,000010000101
247,001011110110
248,100000101000
249,000010000110
250,001011010100
251,111101011000
252,001010111001
253,001111000000
254,000100100001
255,100101011000
256,100000010010
257,111101100010
258,000011000111
259,000110001000
260,001110101101
261,010011011110
262,011101100000
263,010100000001
264,001110010001
265,010000000100
266,000100010010
267,000101000011
268,000111100001
269,111010110100
270,100111100110
271,100100001001
272,001111111111
273,101010001100
274,110011001001
275,000011010101
276,101001001111
277,010010001100
278,001010110010
279,100011110110
280,100001111010
281,100100101001
282,111010111000
283,111011110111
284,011110100000
285,101110000010
286,111111111000
287,000110011010
288,010010000111
289,000111101000
290,010100110110
291,010001011010
292,011001101010
293,101010000101
294,011110011100
295,000000000110
296,001001000110
297,000001001011
298,100011001001
299,001001100011
300,100101001110
301,110110101101
302,001001100110
303,110000011111
304,011110101011
305,010111001001
306,101011010010
307,011101110000
308,000000011110
309,010000101101
310,001000000111
311,001010001010
312,101111100111
313,010111101001
314,101010001000
315,010110110001
316,101110100010
317,001001110101
318,011000100100
319,111011011110
320,000101110101
321,111010100110
322,100110011011
323,100010100010
324,001001111101
325,110110111010
326,101101100011
327,011000011000
328,010011010000
329,010000111100
330,110110001101
331,011000111101
332,011101010011
333,001000000001
334,101010011100
335,101111011100
336,011010101111
337,001110110010
338,001111100011
339,001011010011
340,110000001110
341,000000110111
342,110011101100
343,010000101100
344,000101001010
345,101010110111
346,011100000001
347,110011101111
348,100011111111
349,110100011100
350,111000100111
351,000000001000
352,100011011100
353,110010000101
354,100110010010
355,000100100000
356,010101100110
357,010100010011
358,000110100111
359,111001010001
360,010001011011
361,100011010101
362,000100001010
363,010000001000
364,010011101011
365,010100000101
366,001111001100
367,101000000001
368,010010100101
369,011001111000
370,000101101001
371,010101011110
372,000001010001
373,010110000101
374,010000011111
375,100110111011
376,001010010100
377,001100100001
378,011111111001
379,011100101001
380,101001111100
381,110100101100
382,010010101001
383,101000001010
384,010010010101
385,101000110011
386,011100010000
387,001001111010
388,101011010111
389,100100100111
390,110001101111
391,100000101101
392,000111110100
393,000010110110
394,010001100101
395,110000111111
396,001011000100
397,011010011100
398,011110011010
399,010100101111
400,001001010100
401,101111011111
402,000100111100
403,111110010011
404,110011010010
405,011100111101
406,001000011111
407,100111000101
408,110001100100
409,110000110101
410,011001001111
411,100110010101
412,100011001111
413,100010000111
414,111000110101
415,111000000000
416,101101010001
417,010001000100
418,010000101110
419,011111110001
420,011010101000
421,101101111110
422,100101101111
423,001111101100
424,110011100100
425,001011100010
426,001101001010
427,011110010011
428,000100011101
429,011000010011
430,111110101111
431,101101110010
432,000011101010
433,001010110101
434,111111000110
435,100000101011
436,001000111111
437,101011110100
438,001001110001
439,100111101010
440,000111110101
441,010110100010
442,110011010111
443,010110110111
444,001100100100
445,111000001111
446,011000010000
447,101010000111
448,111101111010
449,011101100010
450,011000001101
451,010000010010
452,101010110000
453,010000100000
454,111011100100
455,101101011000
456,011000010110
457,101111111111
458,000000111101
459,101100110110
460,011000110011
461,110111100000
462,010101111100
463,010101101011
464,100011001101
465,101100111011
466,111000111010
467,000110010111
468,111111001111
469,101010111010
470,111011101001
471,001111001110
472,010010001101
473,111110000100
474,100000000100
475,011101011101
476,010000011101
477,010001011000
478,000110011000
479,010001101011
480,110110000011
481,111110110000
482,101001011100
483,100011110010
484,100000010011
485,111011101101
486,000101101110
487,010000100111
488,011000000001
489,000111100100
490,110111111001
491,111010111001
492,101111100101
493,100110000011
494,110010011101
495,010110111010
496,011110001001
497,110000100000
498,001000010100
499,010101101001
500,100100011110
501,011000100101
502,010010001010
503,001010001111
504,101011001010
505,011110101111
506,110011001111
507,111001001011
508,000000111001
509,010010101100
510,100101010011
511,011111011000
512,101010100110
513,110101001101
514,011000100000
515,000101111011
516,110011100010
517,111011100001
518,010001111000
519,111110000101
520,001100000001
521,001101001111
522,110001010101
523,010011111001
524,100100101000
525,110011011110
526,100011101101
527,100000011011
528,101101101010
529,100111111100
530,100001000001
531,110101111111
532,010000100110
533,011010010101
534,110011010110
535,101001010011
536,111010000001
537,000100110101
538,001100100111
539,001011000011
540,101110010000
541,011010111110
542,110101101011
543,011010001110
544,101100101111
545,011111011011
546,101110011111
547,011000110101
548,101100001011
549,001010001100
550,110111101011
551,100010001100
552,100111100111
553,110000111011
554,011001101000
555,001100010111
556,001101001001
557,001111010011
558,100111000111
559,111011010100
560,000011101110
561,111101000011
562,010000011001
563,111101101000
564,000111011100
565,010100001001
566,110011111110
567,001011010010
568,111000010100
569,100001010000
570,101000000000
571,011110000000
572,111111110001
573,101010100011
574,001011111010
575,110011101110
576,011110001011
577,101011100000
578,010101011100
579,010001101101
580,010010110110
581,101011010100
582,010001001100
583,111001111010
584,101111111101
585,101000101011
586,010010000100
587,000011110001
588,110010001000
589,010111101011
590,111010010101
591,010110100111
592,110000100110
593,000011111110
594,001000101011
595,000000000010
596,011100100010
597,011110010000
598,000010011111
599,001000011000
600,001111000110
601,110110011101
602,010100110010
603,101101100110
604,001101100100
605,111000001000
606,001011100100
607,110110010001
608,000100101010
609,100100111111
610,000100111011
611,100001000011
612,101011001001
613,000110101111
614,010110111111
615,101100010011
616,111010110101
617,001010001110
618,111000100011
619,011000110001
620,010000110000
621,101001100110
622,011001010001
623,001011001111
624,101111111010
625,110111111100
626,010000010001
627,000100101011
628,000000011100
629,110010000011
630,111000010000
631,110101111011
632,001010100100
633,001001000111
634,110110001111
635,011111001111
636,010010111000
637,011010011000
638,111100111101
639,100100101011
640,000110001101
641,110011001101
642,000000100010
643,001000110100
644,001010110001
645,110001000110
646,111011000101
647,100001010011
648,100111011101
649,010101110000
650,110010000010
651,010001111010
652,111010111111
653,010110001101
654,110001110101
655,100110101100
656,000001011011
657,111111011111
658,011001011011
659,000101110011
660,000011110000
661,100100010110
662,100000010001
663,011100110110
664,101011101011
665,010100101110
666,010011011101
667,001001111000
668,000000011101
669,010101100000
670,001000100011
671,011011111001
672,110011100000
673,100000110111
674,010000000011
675,001010011010
676,011100010110
677,101010100001
678,001110111000
679,110101000110
680,001110011010
681,010100001011
682,001001010110
683,011010000110
684,010010101000
685,001110100011
686,110101011001
687,101111101001
688,001101110111
689,110101111001
690,011010110110
691,101001000101
692,000000100111
693,101011111110
694,111111100001
695,101000111111
696,000110100011
697,010001110110
698,000111101010
699,000011011101
700,100001101010
701,001011101111
702,111100010101
703,110110111000
704,110110011111
705,010110001011
706,011010000101
707,110101110011
708,101011101100
709,011101111100
710,000111011010
711,100001011101
712,000010001111
713,000110111100
714,000101000101
715,101010101010
716,011111001001
717,010111110011
718,111010000000
719,001100011101
720,001000101000
721,100101010100
722,010011111110
723,010011000001
724,010110100100
725,010011001010
726,010010100010
727,111100001011
728,100110100111
729,000010110010
730,101111000100
731,101000000011
732,110101011000
733,001000010111
734,100100110111
735,000000000011
736,001011111000
737,100101000101
738,101100010101
739,101100000101
740,000101001111
741,101111010001
742,111101011110
743,000000010001
744,100001110100
745,101111000000
746,101000101110
747,010100001110
748,010000110011
749,101101110110
750,001011000101
751,000100100010
752,111100010000
753,100000100010
754,011101000101
755,111000110111
756,110110001011
757,101101111001
758,011001111010
759,001111011010
760,111010101100
761,101110011101
762,100110101101
763,101011011011
764,110100000001
765,011001100100
766,000001011101
767,000011011110
768,100101101101
769,001110100110
770,110011110111
771,010001110000
772,100011100011
773,001110011001
774,011011110110
775,100000010100
776,001010101101
777,010110000111
778,010001011001
779,001111111000
780,011000011001
781,110101101100
782,110101000011
783,100000011101
784,001100001011
785,000011000000
786,111000010101
787,110000011010
788,101111000111
789,011101010000
790,011111000111
791,101010111000
792,011000110110
793,011101101001
794,111110101010
795,001010111000
796,000010011100
797,000100111010
798,000111100010
799,010101111110
800,001000011101
801,110110111011
802,011001101110
803,011111111100
804,001100100011
805,000100001101
806,011100001111
807,000001010011
808,011001111110
809,100001100010
810,010001110100
811,011010110001
812,001010101000
813,101100001001
814,101010000001
815,000001101100
816,100000000111
817,010100010111
818,110001111001
819,000010100111
820,011100101000
821,011010110100
822,100111100010
823,100101110011
824,001111010001
825,100111101011
826,101111110100
827,110010100111
828,000011110110
829,101100100011
830,111011101110
831,000011010110
832,011010000011
833,011001011010
834,001010011101
835,000110000101
836,011110101110
837,010110001001
838,101110100101
839,100111001110
840,011011111101
841,110010110100
842,101010010010
843,011110110000
844,001100110110
845,111001000101
846,110000001100
847,011010011011
848,011111010110
849,101010011110
850,101100010001
851,001110101001
852,101101010110
853,111110110110
854,000000101000
855,001111000001
856,010010001111
857,100011100010
858,011111110010
859,000010010001
860,011100000000
861,001001111001
862,100101101010
863,101000101101
864,111010011100
865,101001101000
866,101100110100
867,100111000011
868,111011100011
869,101100010110
870,010010101110
871,011010010011
872,111001011100
873,101100010010
874,101000110111
875,101011010001
876,111000110100
877,110000101001
878,000010101010
879,001000110000
880,010110010011
881,110110100110
882,111110000000
883,111001100101
884,101101110011
885,100001111000
886,100010011001
887,111101000101
888,000101010101
889,010110111011
890,111111111111
891,001100000000
892,111110001111
893,110001001011
894,010110110000
895,110110101111
896,110001101101
897,011111101001
898,011101100101
899,111101001100
900,110001101000
901,110001011100
902,101100011100
903,101110110101
904,000110110011
905,111110111110
906,011111010000
907,000111010100
908,101110001000
909,101111100110
910,000101001011
911,111101111011
912,001100100110
913,011110100010
914,010111011001
915,110110110011
916,000100100101
917,001101011111
918,011010001010
919,010000111110
920,100010111011
921,101000100101
922,111111101111
923,111111111110
924,110111100111
925,001011110001
926,001101000010
927,010111010011
928,101101101110
929,100110001011
930,111100001111
931,101010011010
932,000110111111
933,011110000100
934,111100110011
935,111110111101
936,011001101111
937,110110011001
938,111010001101
939,010000001101
940,100001111101
941,100101111111
942,100111110111
943,110001000001
944,110111001101
945,011001110100
946,010001110101
947,100010111110
948,010010010010
949,000010111101
950,101001101100
951,100011111100
952,110010111010
953,100101011011
954,110110101011
955,101101010000
956,011110100011
957,101100111111
958,110001100001
959,110100111010
960,011000100011
961,011000100010
962,011111101111
963,101000010110
964,000101000010
965,001000100001
966,111101110010
967,000111000001
968,101000111000
969,100110100011
970,001001001111
971,110101011010
972,101011101101
973,100011000110
974,100100111000
975,001111001111
976,010100010100
977,000100100100
978,010100101011
979,010001100000
980,011010110111
981,111110111000
982,110100101001
983,010100011000
984,110110101110
985,010000101001
986,000111001010
987,001001100111
988,110000110110
989,011000101010
990,000011110100
991,111110010000
992,010000101111
993,100111010101
994,110110110000
995,110100101110
996,111000110010
997,011110001100
998,000001100100
999,111110000111
1000,001000011001
